provider_agency_name,total_payout,total_compliant_visits,total_visits,num_providers,avg_payout_per_provider
Metro Health Network,290.0,12.0,13,2,145.0
Regional Health Alliance,275.0,11.0,12,2,137.5
Eastside Family Practice,250.0,11.0,13,3,83.33
Northside Medical Group,240.0,10.0,14,3,80.0
Downtown Healthcare Partners,165.0,7.0,10,3,55.0
Southpoint Health Associates,160.0,6.0,6,3,53.33
Community Care Physicians,100.0,5.0,10,2,50.0
Westview Clinic,70.0,4.0,11,3,23.33
Premier Medical Group,50.0,2.0,5,2,25.0
Suburban Medical Associates,20.0,1.0,1,1,20.0
